FIPS,State,"County, State",2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child food insecurity rate,# of Food Insecure Children in 2017,% food insecure children in HH w/ HH incomes below 185 FPL in 2017,% food insecure children in HH w/ HH incomes above 185 FPL in 2017,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
31183,NE,"Wheeler County, Nebraska",9.9%, 80 ,130%,SNAP,185%,Other Nutrition Program,33.4%,39.0%,27.6%,15.3%, 20 ,100%,0%,$3.02,"$41,000.00"
31185,NE,"York County, Nebraska",11.0%," 1,530 ",130%,SNAP,185%,Other Nutrition Program,38.8%,13.6%,47.6%,17.0%, 530 ,61%,39%,$2.85,"$745,000.00"
32001,NV,"Churchill County, Nevada",12.7%," 3,040 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.2%,,30.8%,19.2%," 1,070 ",70%,31%,$3.32,"$1,720,000.00"
32003,NV,"Clark County, Nevada",12.6%," 265,720 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.0%,,22.0%,20.0%," 99,980 ",65%,35%,$3.17,"$143,680,000.00"
32005,NV,"Douglas County, Nevada",11.0%," 5,250 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",58.0%,,42.0%,19.2%," 1,640 ",57%,43%,$3.18,"$2,847,000.00"
32007,NV,"Elko County, Nevada",8.7%," 4,550 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.3%,,36.7%,17.8%," 2,570 ",55%,45%,$3.17,"$2,463,000.00"
32009,NV,"Esmeralda County, Nevada",11.1%, 120 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,17.3%, 40 ,100%,0%,$3.39,"$69,000.00"
32011,NV,"Eureka County, Nevada",11.5%, 200 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",48.4%,,51.6%,20.0%, 80 ,39%,62%,$3.15,"$108,000.00"
32013,NV,"Humboldt County, Nevada",7.6%," 1,300 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.5%,,25.5%,16.3%, 760 ,63%,37%,$3.08,"$684,000.00"
32015,NV,"Lander County, Nevada",7.9%, 470 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.9%,,37.1%,19.6%, 320 ,52%,48%,$3.27,"$262,000.00"
32017,NV,"Lincoln County, Nevada",12.5%, 650 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.6%,,40.4%,22.3%, 220 ,61%,39%,$3.12,"$347,000.00"
32019,NV,"Lyon County, Nevada",12.3%," 6,410 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.0%,,27.0%,21.1%," 2,440 ",72%,28%,$3.09,"$3,385,000.00"
32021,NV,"Mineral County, Nevada",15.1%, 670 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.0%,,30.0%,28.0%, 260 ,68%,32%,$3.24,"$371,000.00"
32023,NV,"Nye County, Nevada",14.1%," 6,120 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.8%,,23.2%,23.8%," 1,760 ",77%,23%,$3.02,"$3,153,000.00"
32027,NV,"Pershing County, Nevada",11.1%, 740 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.3%,,42.7%,20.4%, 230 ,72%,28%,$3.27,"$413,000.00"
32029,NV,"Storey County, Nevada",10.2%, 400 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.3%,,40.7%,19.9%, 90 ,64%,36%,$3.30,"$225,000.00"
32031,NV,"Washoe County, Nevada",11.2%," 49,690 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.5%,,27.5%,18.5%," 18,320 ",67%,33%,$3.30,"$27,966,000.00"
32033,NV,"White Pine County, Nevada",10.8%," 1,070 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.1%,,37.9%,20.5%, 420 ,75%,25%,$2.99,"$546,000.00"
32510,NV,"Carson City, Nevada",12.4%," 6,740 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",77.0%,,23.0%,21.0%," 2,340 ",80%,20%,$3.44,"$3,954,000.00"
33001,NH,"Belknap County, New Hampshire",8.7%," 5,280 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",58.6%,,41.4%,12.8%," 1,480 ",65%,35%,$3.63,"$3,270,000.00"
33003,NH,"Carroll County, New Hampshire",8.6%," 4,110 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.9%,,33.1%,12.4%, 980 ,79%,22%,$3.80,"$2,666,000.00"
33005,NH,"Cheshire County, New Hampshire",9.6%," 7,340 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.5%,,43.5%,12.6%," 1,760 ",65%,35%,$3.27,"$4,096,000.00"
33007,NH,"Coos County, New Hampshire",11.3%," 3,630 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.9%,,36.1%,15.4%, 830 ,77%,23%,$3.49,"$2,160,000.00"
33009,NH,"Grafton County, New Hampshire",9.7%," 8,690 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",52.6%,,47.4%,12.7%," 1,910 ",64%,36%,$3.67,"$5,437,000.00"
33011,NH,"Hillsborough County, New Hampshire",8.9%," 36,070 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.9%,,49.1%,11.4%," 9,910 ",56%,44%,$3.42,"$21,080,000.00"
33013,NH,"Merrimack County, New Hampshire",8.6%," 12,780 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",49.9%,,50.1%,11.1%," 3,250 ",56%,44%,$3.63,"$7,918,000.00"
33015,NH,"Rockingham County, New Hampshire",7.1%," 21,530 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",40.2%,,59.8%,10.1%," 6,210 ",42%,58%,$3.49,"$12,808,000.00"
33017,NH,"Strafford County, New Hampshire",9.6%," 12,090 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",53.3%,,46.7%,11.3%," 2,760 ",63%,37%,$3.56,"$7,343,000.00"
33019,NH,"Sullivan County, New Hampshire",9.0%," 3,890 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.5%,,39.5%,12.1%," 1,020 ",68%,32%,$3.30,"$2,189,000.00"
34001,NJ,"Atlantic County, New Jersey",12.7%," 34,780 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",73.4%,,26.6%,17.9%," 10,690 ",78%,22%,$3.36,"$19,928,000.00"
34003,NJ,"Bergen County, New Jersey",7.2%," 67,490 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",59.7%,,40.3%,10.6%," 21,370 ",56%,44%,$3.76,"$43,296,000.00"
34005,NJ,"Burlington County, New Jersey",9.3%," 41,680 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",47.0%,,53.0%,11.4%," 10,960 ",56%,44%,$3.24,"$23,015,000.00"
34007,NJ,"Camden County, New Jersey",11.8%," 60,130 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.6%,,31.4%,14.6%," 17,200 ",76%,24%,$3.37,"$34,620,000.00"
34009,NJ,"Cape May County, New Jersey",11.9%," 11,260 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",58.1%,,41.9%,17.6%," 2,970 ",67%,33%,$3.61,"$6,932,000.00"
34011,NJ,"Cumberland County, New Jersey",12.9%," 20,030 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",82.1%,,17.9%,17.9%," 6,610 ",86%,14%,$2.92,"$9,975,000.00"
34013,NJ,"Essex County, New Jersey",16.3%," 130,720 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",73.6%,,26.4%,15.8%," 30,210 ",76%,24%,$4.02,"$89,624,000.00"
34015,NJ,"Gloucester County, New Jersey",9.2%," 26,860 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",52.4%,,47.6%,12.4%," 8,180 ",57%,44%,$3.14,"$14,414,000.00"
34017,NJ,"Hudson County, New Jersey",10.7%," 72,410 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",86.8%,,13.2%,15.3%," 21,220 ",77%,23%,$3.17,"$39,161,000.00"
34019,NJ,"Hunterdon County, New Jersey",5.6%," 7,060 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",40.6%,,59.4%,9.4%," 2,440 ",35%,66%,$3.32,"$4,004,000.00"
34021,NJ,"Mercer County, New Jersey",10.6%," 39,550 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.0%,,33.0%,12.3%," 9,920 ",77%,23%,$3.26,"$21,972,000.00"
34023,NJ,"Middlesex County, New Jersey",8.2%," 68,400 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",61.6%,,38.4%,11.4%," 20,860 ",67%,33%,$3.10,"$36,209,000.00"
34025,NJ,"Monmouth County, New Jersey",8.0%," 49,940 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.2%,,43.8%,11.3%," 15,530 ",60%,40%,$3.51,"$29,894,000.00"
34027,NJ,"Morris County, New Jersey",5.6%," 28,070 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",51.2%,,48.8%,9.3%," 10,150 ",48%,53%,$3.70,"$17,704,000.00"
34029,NJ,"Ocean County, New Jersey",9.0%," 53,350 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.7%,,30.3%,15.2%," 21,220 ",84%,17%,$3.34,"$30,398,000.00"
34031,NJ,"Passaic County, New Jersey",9.8%," 49,950 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",87.2%,,12.8%,16.2%," 19,980 ",79%,21%,$3.34,"$28,466,000.00"
34033,NJ,"Salem County, New Jersey",12.7%," 8,080 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.7%,,35.3%,18.1%," 2,550 ",78%,22%,$3.72,"$5,123,000.00"
34035,NJ,"Somerset County, New Jersey",6.2%," 20,750 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",48.1%,,51.9%,9.2%," 7,000 ",45%,55%,$3.61,"$12,780,000.00"
34037,NJ,"Sussex County, New Jersey",6.7%," 9,620 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",53.0%,,47.0%,11.2%," 3,390 ",53%,47%,$3.86,"$6,340,000.00"
34039,NJ,"Union County, New Jersey",9.3%," 52,090 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",75.5%,,24.5%,12.4%," 16,350 ",76%,24%,$3.35,"$29,757,000.00"
34041,NJ,"Warren County, New Jersey",8.7%," 9,360 ",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",57.5%,,42.5%,12.8%," 2,860 ",64%,36%,$3.75,"$5,989,000.00"
35001,NM,"Bernalillo County, New Mexico",14.9%," 100,350 ",165%,SNAP,185%,Other Nutrition Program,68.0%,2.1%,29.9%,22.5%," 34,380 ",67%,33%,$3.02,"$51,705,000.00"
35003,NM,"Catron County, New Mexico",18.7%, 660 ,165%,SNAP,185%,Other Nutrition Program,61.0%,5.3%,33.6%,28.4%, 150 ,91%,9%,$2.91,"$328,000.00"
35005,NM,"Chaves County, New Mexico",14.8%," 9,690 ",165%,SNAP,185%,Other Nutrition Program,79.9%,3.3%,16.9%,24.6%," 4,360 ",74%,26%,$2.91,"$4,819,000.00"
35006,NM,"Cibola County, New Mexico",19.8%," 5,350 ",165%,SNAP,185%,Other Nutrition Program,75.3%,3.7%,21.0%,30.4%," 1,980 ",82%,18%,$2.77,"$2,529,000.00"
35007,NM,"Colfax County, New Mexico",16.3%," 2,040 ",165%,SNAP,185%,Other Nutrition Program,78.4%,0.5%,21.2%,25.9%, 610 ,90%,10%,$3.33,"$1,160,000.00"
35009,NM,"Curry County, New Mexico",18.0%," 9,040 ",165%,SNAP,185%,Other Nutrition Program,79.3%,2.2%,18.5%,25.1%," 3,390 ",79%,21%,$3.16,"$4,881,000.00"
35011,NM,"De Baca County, New Mexico",16.0%, 320 ,165%,SNAP,185%,Other Nutrition Program,83.5%,6.9%,9.6%,20.8%, 100 ,86%,15%,$3.01,"$165,000.00"
35013,NM,"Doña Ana County, New Mexico",15.5%," 33,110 ",165%,SNAP,185%,Other Nutrition Program,84.3%,1.0%,14.7%,27.1%," 14,700 ",75%,25%,$3.01,"$16,995,000.00"
35015,NM,"Eddy County, New Mexico",13.1%," 7,410 ",165%,SNAP,185%,Other Nutrition Program,63.0%,6.5%,30.5%,21.2%," 3,170 ",68%,32%,$3.14,"$3,970,000.00"
35017,NM,"Grant County, New Mexico",15.3%," 4,340 ",165%,SNAP,185%,Other Nutrition Program,69.1%,4.8%,26.1%,25.0%," 1,490 ",73%,27%,$3.23,"$2,389,000.00"
35019,NM,"Guadalupe County, New Mexico",9.4%, 420 ,165%,SNAP,185%,Other Nutrition Program,71.0%,5.2%,23.8%,20.6%, 170 ,50%,50%,$3.07,"$220,000.00"
35021,NM,"Harding County, New Mexico",16.7%, 90 ,165%,SNAP,185%,Other Nutrition Program,71.6%,5.9%,22.5%,27.8%, 30 ,76%,24%,$3.26,"$50,000.00"
35023,NM,"Hidalgo County, New Mexico",14.9%, 660 ,165%,SNAP,185%,Other Nutrition Program,79.2%,2.9%,17.9%,25.9%, 270 ,77%,23%,$2.95,"$332,000.00"
35025,NM,"Lea County, New Mexico",13.3%," 9,270 ",165%,SNAP,185%,Other Nutrition Program,66.4%,2.9%,30.7%,22.0%," 4,610 ",63%,37%,$3.10,"$4,897,000.00"
35027,NM,"Lincoln County, New Mexico",15.4%," 3,000 ",165%,SNAP,185%,Other Nutrition Program,65.2%,4.7%,30.1%,21.4%, 770 ,74%,26%,$3.02,"$1,547,000.00"
35028,NM,"Los Alamos County, New Mexico",12.7%," 2,290 ",165%,SNAP,185%,Other Nutrition Program,25.7%,2.7%,71.6%,17.1%, 710 ,29%,71%,$3.26,"$1,275,000.00"
35029,NM,"Luna County, New Mexico",20.7%," 5,040 ",165%,SNAP,185%,Other Nutrition Program,85.4%,4.7%,9.9%,33.4%," 2,150 ",86%,14%,$2.98,"$2,563,000.00"
35031,NM,"McKinley County, New Mexico",26.0%," 18,920 ",165%,SNAP,185%,Other Nutrition Program,83.2%,1.9%,14.9%,33.5%," 7,240 ",86%,14%,$2.74,"$8,840,000.00"
35033,NM,"Mora County, New Mexico",11.4%, 530 ,165%,SNAP,185%,Other Nutrition Program,100.0%,0.0%,0.0%,24.2%, 200 ,99%,1%,$3.35,"$303,000.00"
35035,NM,"Otero County, New Mexico",17.9%," 11,680 ",165%,SNAP,185%,Other Nutrition Program,66.4%,3.7%,29.9%,25.9%," 4,000 ",75%,25%,$3.14,"$6,266,000.00"
35037,NM,"Quay County, New Mexico",16.8%," 1,420 ",165%,SNAP,185%,Other Nutrition Program,89.6%,9.2%,1.3%,27.1%, 510 ,85%,15%,$3.03,"$734,000.00"
35039,NM,"Rio Arriba County, New Mexico",13.2%," 5,190 ",165%,SNAP,185%,Other Nutrition Program,80.1%,1.7%,18.2%,24.7%," 2,330 ",77%,23%,$2.97,"$2,635,000.00"
35041,NM,"Roosevelt County, New Mexico",18.8%," 3,640 ",165%,SNAP,185%,Other Nutrition Program,77.9%,2.0%,20.1%,26.7%," 1,270 ",75%,26%,$2.98,"$1,854,000.00"
35043,NM,"Sandoval County, New Mexico",14.2%," 19,740 ",165%,SNAP,185%,Other Nutrition Program,57.5%,4.9%,37.6%,22.0%," 7,410 ",62%,38%,$3.11,"$10,464,000.00"
35045,NM,"San Juan County, New Mexico",19.6%," 25,170 ",165%,SNAP,185%,Other Nutrition Program,65.6%,3.8%,30.6%,26.6%," 9,380 ",77%,24%,$2.80,"$12,014,000.00"
35047,NM,"San Miguel County, New Mexico",14.6%," 4,130 ",165%,SNAP,185%,Other Nutrition Program,81.4%,0.9%,17.7%,27.1%," 1,540 ",70%,30%,$3.11,"$2,191,000.00"
35049,NM,"Santa Fe County, New Mexico",12.4%," 18,310 ",165%,SNAP,185%,Other Nutrition Program,64.5%,3.3%,32.3%,20.9%," 5,910 ",68%,32%,$3.36,"$10,499,000.00"
35051,NM,"Sierra County, New Mexico",19.0%," 2,140 ",165%,SNAP,185%,Other Nutrition Program,72.5%,5.1%,22.4%,27.8%, 510 ,80%,20%,$2.90,"$1,058,000.00"
35053,NM,"Socorro County, New Mexico",16.4%," 2,800 ",165%,SNAP,185%,Other Nutrition Program,75.1%,4.4%,20.5%,26.6%," 1,060 ",79%,21%,$3.02,"$1,444,000.00"
35055,NM,"Taos County, New Mexico",15.0%," 4,910 ",165%,SNAP,185%,Other Nutrition Program,80.7%,2.4%,16.8%,24.9%," 1,540 ",86%,14%,$3.63,"$3,039,000.00"
35057,NM,"Torrance County, New Mexico",18.5%," 2,880 ",165%,SNAP,185%,Other Nutrition Program,77.7%,4.3%,17.9%,27.2%, 880 ,95%,5%,$3.07,"$1,507,000.00"
35059,NM,"Union County, New Mexico",14.1%, 590 ,165%,SNAP,185%,Other Nutrition Program,62.3%,7.6%,30.1%,23.1%, 200 ,72%,28%,$2.97,"$299,000.00"
35061,NM,"Valencia County, New Mexico",13.4%," 10,140 ",165%,SNAP,185%,Other Nutrition Program,77.0%,4.9%,18.1%,24.1%," 4,460 ",80%,20%,$2.89,"$5,007,000.00"
36001,NY,"Albany County, New York",12.0%," 36,970 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.7%,,42.3%,15.9%," 9,260 ",61%,39%,$3.55,"$22,411,000.00"
36003,NY,"Allegany County, New York",12.4%," 5,880 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.2%,,28.8%,22.1%," 2,140 ",93%,7%,$3.29,"$3,297,000.00"
36005,NY,"Bronx County, New York",16.0%," 233,450 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",100.0%,,0.0%,22.6%," 82,880 ",64%,36%,$3.11,"$123,831,000.00"
36007,NY,"Broome County, New York",12.8%," 25,180 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.1%,,30.9%,19.9%," 7,650 ",77%,24%,$3.02,"$12,986,000.00"
36009,NY,"Cattaraugus County, New York",12.5%," 9,750 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.6%,,24.4%,21.1%," 3,720 ",87%,13%,$2.82,"$4,695,000.00"
36011,NY,"Cayuga County, New York",10.6%," 8,320 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",67.5%,,32.5%,18.3%," 2,900 ",74%,26%,$2.95,"$4,192,000.00"
36013,NY,"Chautauqua County, New York",12.3%," 16,150 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.8%,,24.2%,21.7%," 5,900 ",86%,14%,$2.84,"$7,815,000.00"
36015,NY,"Chemung County, New York",12.5%," 10,880 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.1%,,31.9%,20.1%," 3,810 ",75%,25%,$2.75,"$5,114,000.00"
36017,NY,"Chenango County, New York",11.0%," 5,350 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.1%,,23.9%,19.1%," 1,970 ",83%,17%,$2.69,"$2,453,000.00"
36019,NY,"Clinton County, New York",12.0%," 9,750 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.1%,,37.9%,19.4%," 2,870 ",71%,29%,$3.08,"$5,125,000.00"
36021,NY,"Columbia County, New York",9.4%," 5,780 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.6%,,34.4%,16.0%," 1,800 ",67%,33%,$3.21,"$3,163,000.00"
36023,NY,"Cortland County, New York",12.1%," 5,850 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,18.8%," 1,790 ",72%,28%,$2.89,"$2,883,000.00"
36025,NY,"Delaware County, New York",11.6%," 5,320 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.1%,,30.9%,22.3%," 1,800 ",71%,29%,$3.79,"$3,436,000.00"
36027,NY,"Dutchess County, New York",8.6%," 25,470 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.2%,,40.8%,14.5%," 8,450 ",56%,44%,$3.44,"$14,959,000.00"
36029,NY,"Erie County, New York",12.7%," 116,940 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.5%,,35.5%,18.9%," 35,990 ",69%,31%,$3.08,"$61,542,000.00"
36031,NY,"Essex County, New York",9.5%," 3,630 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.8%,,36.2%,17.1%," 1,110 ",67%,33%,$2.98,"$1,847,000.00"
36033,NY,"Franklin County, New York",13.0%," 6,630 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,21.9%," 2,190 ",85%,15%,$2.65,"$2,994,000.00"
36035,NY,"Fulton County, New York",11.9%," 6,420 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.4%,,24.6%,20.7%," 2,290 ",84%,16%,$2.84,"$3,110,000.00"
36037,NY,"Genesee County, New York",10.5%," 6,130 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.3%,,35.7%,18.7%," 2,270 ",70%,30%,$2.83,"$2,962,000.00"
36039,NY,"Greene County, New York",10.3%," 4,920 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.0%,,34.0%,17.7%," 1,450 ",67%,33%,$3.59,"$3,014,000.00"
36041,NY,"Hamilton County, New York",10.1%, 470 ,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.8%,,31.2%,18.9%, 120 ,84%,16%,$3.20,"$257,000.00"
36043,NY,"Herkimer County, New York",11.6%," 7,300 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.2%,,26.8%,20.6%," 2,730 ",84%,16%,$2.83,"$3,528,000.00"
36045,NY,"Jefferson County, New York",13.2%," 15,410 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.5%,,26.5%,20.6%," 5,880 ",79%,21%,$2.90,"$7,615,000.00"
36047,NY,"Kings County, New York",17.1%," 451,740 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",85.1%,,14.9%,20.1%," 122,330 ",71%,29%,$3.64,"$280,242,000.00"
36049,NY,"Lewis County, New York",11.3%," 3,030 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.2%,,30.8%,21.3%," 1,330 ",77%,23%,$3.09,"$1,596,000.00"
36051,NY,"Livingston County, New York",10.9%," 6,990 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.1%,,38.9%,18.3%," 2,170 ",76%,24%,$2.96,"$3,533,000.00"
36053,NY,"Madison County, New York",10.0%," 7,190 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.5%,,37.5%,17.8%," 2,550 ",71%,29%,$2.99,"$3,669,000.00"
36055,NY,"Monroe County, New York",12.4%," 92,790 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.9%,,34.1%,18.3%," 29,150 ",67%,33%,$3.07,"$48,667,000.00"
36057,NY,"Montgomery County, New York",11.6%," 5,740 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",80.6%,,19.4%,21.4%," 2,430 ",82%,18%,$2.92,"$2,863,000.00"
36059,NY,"Nassau County, New York",5.4%," 73,050 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.1%,,38.9%,12.2%," 36,350 ",43%,57%,$3.71,"$46,273,000.00"
36061,NY,"New York County, New York",12.6%," 208,590 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.3%,,27.7%,16.4%," 39,280 ",62%,38%,$5.85,"$208,070,000.00"
36063,NY,"Niagara County, New York",12.0%," 25,530 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.1%,,33.9%,19.2%," 8,290 ",76%,24%,$2.87,"$12,503,000.00"
36065,NY,"Oneida County, New York",12.2%," 28,300 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.7%,,31.3%,20.2%," 10,000 ",77%,24%,$2.95,"$14,256,000.00"
36067,NY,"Onondaga County, New York",12.2%," 57,180 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",63.9%,,36.1%,18.3%," 18,610 ",68%,32%,$2.94,"$28,694,000.00"
36069,NY,"Ontario County, New York",9.0%," 9,820 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.5%,,35.5%,16.0%," 3,650 ",65%,36%,$3.01,"$5,040,000.00"
36071,NY,"Orange County, New York",8.5%," 31,990 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",71.3%,,28.7%,16.6%," 16,210 ",67%,33%,$3.38,"$18,444,000.00"
36073,NY,"Orleans County, New York",11.8%," 4,900 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.2%,,25.8%,20.9%," 1,750 ",90%,10%,$2.61,"$2,183,000.00"
36075,NY,"Oswego County, New York",12.5%," 15,030 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",68.3%,,31.7%,22.6%," 5,810 ",80%,20%,$2.79,"$7,159,000.00"
36077,NY,"Otsego County, New York",11.1%," 6,770 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.6%,,34.4%,18.7%," 1,880 ",79%,21%,$3.11,"$3,588,000.00"
36079,NY,"Putnam County, New York",4.6%," 4,580 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.0%,,40.0%,11.9%," 2,480 ",34%,66%,$4.06,"$3,177,000.00"
36081,NY,"Queens County, New York",10.5%," 244,830 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",86.3%,,13.7%,15.7%," 74,530 ",70%,30%,$3.47,"$144,968,000.00"
36083,NY,"Rensselaer County, New York",11.1%," 17,680 ",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.8%,,40.2%,17.8%," 5,710 ",67%,34%,$3.44,"$10,368,000.00"
